method,modalities,miou,dice,precision,recall,f1,params_m
baseline_a_rgb,rgb,0.7993640814586158,0.8742631494393114,0.954189818949228,0.8381676639408042,0.8742632308117724,
baseline_b_rgbd,rgb+depth,0.8559014226291515,0.9153316435082316,0.9616035833812743,0.8906515545178202,0.9153316941408033,
proposed_vit_fusion,rgb+depth,0.9102753437488775,0.9516873666911237,0.9711019585574979,0.9365635625665827,0.9516873928294804,
