variant,precision,input_resolution,latency_ms_mean,latency_ms_std,fps,peak_ram_mb,peak_vram_mb
pytorch,fp32,422x640,8.455280830057745,0.7273124233073939,118.26928284216085,0.0,1081.470703125
pytorch,fp16_amp,422x640,11.767413989982742,0.9384769539555632,84.98043842523693,0.0625,1116.27783203125
