sample_id,site_id,alignment_error,depth_valid_ratio,likely_cause
FL_BM__74,FL_BM,0.9857253086419753,0.9922837677725118,sensor_misalignment_or_edge_weakness
HB_LM__39,HB_LM,0.9200960219478738,0.9997630331753554,sensor_misalignment_or_edge_weakness
ABEC_RM__44,ABEC_RM,0.9184558216350124,0.995519845971564,sensor_misalignment_or_edge_weakness
HDCL_HW_A__70,HDCL_HW_A,0.9140534262485482,0.998126481042654,sensor_misalignment_or_edge_weakness
BT_LM__67,BT_LM,0.8995215311004785,1.0,sensor_misalignment_or_edge_weakness
BT_LM__68,BT_LM,0.8957909029192125,1.0,sensor_misalignment_or_edge_weakness
HB_LM__86,HB_LM,0.8909801136363636,0.9987188981042654,sensor_misalignment_or_edge_weakness
FL_BM__60,FL_BM,0.8850138121546961,1.0,sensor_misalignment_or_edge_weakness
FL_LM__84,FL_LM,0.8799589603283173,0.9876481042654028,sensor_misalignment_or_edge_weakness
HDCL_HW_A__40,HDCL_HW_A,0.8735380116959064,1.0,sensor_misalignment_or_edge_weakness
MEB_HW_C__8,MEB_HW_C,0.8725348725348725,0.9919579383886256,sensor_misalignment_or_edge_weakness
HDCL_HW_A__69,HDCL_HW_A,0.8724304715840387,0.9998518957345972,sensor_misalignment_or_edge_weakness
MEB_HW_C__48,MEB_HW_C,0.869031377899045,0.9733597452606635,sensor_misalignment_or_edge_weakness
HDCL_HW_A__39,HDCL_HW_A,0.8680555555555556,1.0,sensor_misalignment_or_edge_weakness
HDCL_HW_A__41,HDCL_HW_A,0.8661221590909091,0.9998630035545024,sensor_misalignment_or_edge_weakness
HB_MM__69,HB_MM,0.8604826546003017,0.9786729857819905,sensor_misalignment_or_edge_weakness
