model,epoch,train_loss,val_loss,val_miou,val_dice
baseline_a_rgb,1,0.3447180312020438,0.3898196310589188,0.669692063802167,0.7818750723412162
baseline_a_rgb,2,0.2230308702162333,0.2641308978199959,0.7933779484347293,0.8760771406324286
baseline_a_rgb,3,0.1706518058265958,0.2996777696044821,0.7780211607092306,0.8536500695504641
baseline_a_rgb,4,0.1525259275095803,0.2264154004423242,0.8211822729361685,0.8904167617622175
baseline_a_rgb,5,0.1366359384145055,0.2043119655235817,0.8345578438357303,0.9032625320710634
baseline_a_rgb,6,0.1259270167350769,0.2069226795513379,0.8281404893649252,0.8943791279667302
baseline_a_rgb,7,0.1195947183029992,0.181501359237652,0.8547405239782835,0.9157745587198358
baseline_a_rgb,8,0.1142779065881456,0.1634639496669957,0.861318472184633,0.9185085704452112
baseline_a_rgb,9,0.1100566270521708,0.1565478790159288,0.8705198090327414,0.9275388984303724
baseline_a_rgb,10,0.1098208075336047,0.1590875944024638,0.8693689813739375,0.9270085315955312
baseline_a_rgb,11,0.1062331829539367,0.1539120863338834,0.8721416482799932,0.9264708506433588
baseline_a_rgb,12,0.102868049613067,0.1296484575753933,0.8902481951211628,0.9385856123347032
baseline_a_rgb,13,0.0989509556123188,0.1506927363378437,0.8715846475801969,0.9277761123682324
baseline_a_rgb,14,0.0950540424244744,0.1704783292585297,0.8584898271058735,0.9164729306572362
baseline_a_rgb,15,0.0940041103533336,0.1440454011684969,0.8753030002117157,0.929695896412197
baseline_a_rgb,16,0.0920536614954471,0.1484925654765806,0.8756743481284693,0.930955066492683
baseline_a_rgb,17,0.0913092573838574,0.1649174646131302,0.8610620639826122,0.9198413789272308
baseline_a_rgb,18,0.0891766851501805,0.1557367141113469,0.8697490331373716,0.9265877024123544
baseline_a_rgb,19,0.0872643414139747,0.1612145626231243,0.8629860407427737,0.9218154016293978
baseline_a_rgb,20,0.0847350060514041,0.1327822591717306,0.8901461551063939,0.9398207099814164
baseline_a_rgb,21,0.0866480067798069,0.1664410179578944,0.85848878402459,0.9193654405443292
baseline_a_rgb,22,0.0857304469389574,0.2237766638986374,0.8021039507891002,0.8787061007399308
baseline_a_rgb,23,0.0832113961449691,0.1597904232575705,0.862847974425868,0.921331021346544
baseline_a_rgb,24,0.0803192300668784,0.1374389053763527,0.8841363630796734,0.9359816375531648
baseline_a_rgb,25,0.0788025228466306,0.111259562796668,0.9087344690373068,0.9508587263132396
baseline_a_rgb,26,0.0802508365256445,0.1510380350641514,0.8766883423453883,0.9296426349564604
baseline_a_rgb,27,0.0763457814071859,0.1706509634264205,0.8604669743462613,0.9207695283387836
baseline_a_rgb,28,0.0768281675236565,0.1410970875111065,0.882934000931288,0.9347992837429048
baseline_a_rgb,29,0.0783363777186189,0.1403029184592397,0.8841580215253328,0.935849771687859
baseline_a_rgb,30,0.0753091049832957,0.1369602004752347,0.8892090979375338,0.9381813281460812
baseline_b_rgbd,1,0.3136198793990271,0.2507424287890133,0.8099823154901203,0.8872088021353671
baseline_b_rgbd,2,0.207894503048488,0.2406031632501828,0.8132869177743008,0.8863375830022913
baseline_b_rgbd,3,0.173519209751061,0.2526997512108401,0.7999585592433026,0.8737751245498657
baseline_b_rgbd,4,0.1370344931312969,0.15960213453754,0.8733806249342466,0.9276035020225928
baseline_b_rgbd,5,0.1272394453627722,0.13844473258053,0.8863371438101718,0.93466517329216
baseline_b_rgbd,6,0.1100579797370093,0.1469319108873605,0.8754643390053197,0.9268919292249178
baseline_b_rgbd,7,0.1013426416686603,0.1132005482519927,0.9037004379849684,0.9459251479098671
baseline_b_rgbd,8,0.0937136191981179,0.1114620990855129,0.9057452004206809,0.946407376151336
baseline_b_rgbd,9,0.0960051128693989,0.107440530469543,0.9082650997136767,0.9490027223762711
baseline_b_rgbd,10,0.0885674460232257,0.1201018856250141,0.8991576370440031,0.9440796955635672
baseline_b_rgbd,11,0.0857602060479777,0.1039653324375027,0.9101523772666328,0.9493190567744406
baseline_b_rgbd,12,0.0853224446943828,0.1133148343743462,0.9025589510014184,0.9444079728502977
baseline_b_rgbd,13,0.0848292566623006,0.0897457324654648,0.9216075743499555,0.9560006088332126
baseline_b_rgbd,14,0.0760522372169154,0.1009665682519737,0.9128916875312204,0.9493079483509064
baseline_b_rgbd,15,0.0751747817226818,0.0925101866259386,0.9215108171889655,0.9579117031473864
baseline_b_rgbd,16,0.0733991511378969,0.0794260869488904,0.9344078992542468,0.9652435842313264
baseline_b_rgbd,17,0.0716154515743255,0.0886114384292772,0.9228508770465852,0.9578328007145932
baseline_b_rgbd,18,0.0750848117044993,0.1194694575510526,0.903968848680195,0.9464526286250666
baseline_b_rgbd,19,0.0712627810665539,0.0993052985715238,0.9197816174281273,0.9538340599913346
baseline_b_rgbd,20,0.0684345723049981,0.0843642310876595,0.9270855941270528,0.9602478068125876
